03001,"10,11,12,13,26,28",11,0:0:6,0:0:6,0:0:6,2:2:2,1:3:2,2:4,2:4,2:4
03002,"04,09,19,20,21,26",12,1:0:5,0:0:6,4:1:1,1:3:2,2:2:2,4:2,3:3,1:5
03003,"01,07,10,23,28,32",16,0:2:4,0:0:6,5:1:0,3:0:3,0:4:2,3:3,3:3,3:3
03004,"04,06,07,10,13,25",03,2:1:3,0:0:6,3:1:2,1:1:4,1:5:0,1:5,3:3,2:4
03005,"04,06,15,17,30,31",16,2:0:4,0:0:6,4:0:2,2:2:2,3:2:1,3:3,3:3,2:4
03006,"01,03,10,21,26,27",06,0:1:5,0:0:6,5:1:0,2:1:3,3:2:1,3:3,4:2,2:4
03007,"01,09,19,21,23,26",07,3:0:3,0:0:6,2:1:3,2:2:2,2:2:2,4:2,5:1,3:3
03008,"05,08,09,14,17,23",08,2:0:4,0:0:6,3:1:2,1:2:3,1:0:5,2:4,4:2,3:3
03009,"05,09,18,20,22,30",09,2:0:4,0:0:6,2:2:2,1:3:2,3:1:2,4:2,2:4,1:5
03010,"01,02,08,13,17,24",13,0:2:4,0:0:6,4:2:0,1:2:3,1:2:3,2:4,3:3,4:2
03011,"04,05,11,12,30,32",15,0:2:4,3:1:2,5:1:0,2:1:3,2:1:3,2:4,2:4,2:4
03012,"02,12,16,17,27,30",12,2:2:2,4:2:0,4:0:2,2:3:1,3:1:2,3:3,2:4,2:4
03013,"08,13,17,21,23,32",12,1:1:4,0:2:4,4:1:1,2:3:1,1:1:4,4:2,4:2,3:3
03014,"03,05,07,08,21,31",02,2:0:4,3:3:0,2:2:2,1:1:4,2:2:2,2:4,5:1,4:2
03015,"04,11,19,25,26,32",13,0:1:5,3:0:3,4:2:0,3:1:2,0:3:3,4:2,3:3,2:4
03016,"11,17,28,30,31,33",06,1:1:4,3:2:1,3:2:1,4:1:1,2:2:2,5:1,4:2,3:3
03017,"05,08,18,23,25,31",06,1:1:4,2:3:1,4:1:1,3:1:2,1:2:3,4:2,4:2,3:3
03018,"05,16,19,20,25,28",13,2:1:3,4:1:1,3:1:2,2:3:1,0:4:2,4:2,3:3,2:4
03019,"04,08,12,13,16,33",09,1:1:4,1:1:4,4:1:1,1:3:2,2:3:1,1:5,2:4,1:5
03020,"07,10,25,26,27,32",04,0:1:5,4:2:0,4:2:0,4:0:2,1:3:2,4:2,3:3,1:5
03021,"14,15,18,25,26,30",01,2:0:4,3:2:1,4:0:2,3:3:0,3:1:2,4:2,2:4,0:6
03022,"02,07,11,12,14,32",08,1:2:3,2:1:3,5:0:1,1:2:3,1:1:4,1:5,2:4,3:3
03023,"01,10,20,22,26,31",02,0:1:5,4:2:0,3:3:0,2:2:2,0:4:2,4:2,2:4,2:4
03024,"02,07,15,17,22,30",14,1:2:3,4:1:1,3:2:1,1:3:2,2:2:2,3:3,3:3,3:3
03025,"01,05,11,13,14,27",12,0:1:5,3:1:2,4:2:0,1:2:3,1:2:3,1:5,5:1,4:2
03026,"08,13,15,26,29,31",16,1:1:4,1:2:3,3:2:1,3:2:1,1:2:3,3:3,4:2,3:3
03027,"01,11,14,17,27,28",15,0:4:2,2:1:3,3:3:0,2:2:2,1:2:3,3:3,4:2,3:3
03028,"06,13,16,20,28,32",07,1:1:4,1:1:4,3:2:1,2:3:1,1:3:2,3:3,1:5,1:5
03029,"02,07,15,26,29,32",10,1:0:5,1:4:1,2:3:1,3:1:2,1:1:4,3:3,3:3,3:3
03030,"02,06,13,14,23,27",07,1:2:3,2:4:0,2:3:1,2:2:2,2:1:3,2:4,3:3,3:3
03031,"11,17,20,22,28,32",01,0:1:5,0:2:4,4:2:0,2:3:1,0:2:4,5:1,2:4,2:4
03032,"04,11,25,27,29,30",13,1:1:4,3:2:1,3:2:1,4:0:2,2:2:2,4:2,4:2,2:4
03033,"01,07,14,20,27,30",10,2:1:3,0:4:2,4:0:2,2:2:2,2:2:2,3:3,3:3,2:4
03034,"08,13,14,16,23,25",14,1:1:4,4:2:0,3:2:1,2:3:1,0:3:3,2:4,3:3,2:4
03035,"03,04,05,08,10,11",08,1:0:5,4:1:1,5:0:1,0:0:6,1:2:3,0:6,3:3,3:3
03036,"07,21,24,25,27,28",15,0:1:5,2:2:2,5:1:0,4:1:1,3:3:0,5:1,4:2,1:5
03037,"09,14,17,18,26,32",07,0:0:6,3:2:1,5:1:0,2:3:1,2:0:4,4:2,2:4,1:5
03038,"05,07,08,24,25,27",16,0:4:2,2:3:1,3:3:0,3:0:3,2:2:2,3:3,4:2,2:4
03039,"03,05,23,24,27,32",03,3:1:2,1:2:3,2:1:3,4:0:2,3:0:3,4:2,4:2,3:3
03040,"04,05,06,12,14,23",16,2:0:4,2:3:1,2:2:2,1:2:3,2:1:3,1:5,2:4,2:4
03041,"02,03,17,18,24,25",11,0:2:4,2:2:2,4:2:0,2:2:2,3:1:2,4:2,3:3,3:3
03042,"03,05,07,10,15,20",07,1:1:4,3:3:0,5:0:1,0:2:4,2:2:2,1:5,4:2,3:3
03043,"02,08,10,19,20,32",13,2:1:3,2:1:3,1:3:2,1:2:3,0:2:4,3:3,1:5,2:4
03044,"02,05,09,16,32,33",15,2:1:3,3:2:1,2:2:2,2:1:3,2:1:3,2:4,3:3,2:4
03045,"03,07,14,15,17,32",03,1:0:5,1:3:2,2:3:1,1:3:2,2:1:3,2:4,4:2,3:3
03046,"07,08,10,11,17,26",11,2:0:4,2:2:2,3:1:2,1:1:4,0:2:4,2:4,3:3,3:3
03047,"03,17,26,28,32,33",16,2:2:2,2:3:1,4:0:2,4:1:1,2:1:3,5:1,3:3,2:4
03048,"10,12,20,28,30,31",09,1:1:4,4:1:1,4:1:1,3:2:1,2:3:1,4:2,1:5,1:5
03049,"03,06,07,13,24,25",15,0:1:5,3:2:1,5:1:0,2:1:3,3:3:0,2:4,4:2,3:3
03050,"02,08,17,23,24,26",13,1:0:5,1:2:3,1:4:1,3:1:2,1:0:5,4:2,2:4,3:3
03051,"04,13,15,17,24,27",01,2:1:3,3:2:1,3:1:2,2:3:1,3:2:1,3:3,4:2,2:4
03052,"01,12,13,23,30,31",11,1:1:4,5:0:1,3:2:1,3:2:1,2:3:1,3:3,4:2,4:2
03053,"15,19,20,21,28,29",13,0:1:5,3:0:3,5:1:0,2:4:0,2:2:2,5:1,4:2,2:4
03054,"02,05,09,21,31,33",12,1:1:4,3:0:3,5:0:1,2:1:3,3:1:2,3:3,5:1,3:3
03055,"06,13,16,21,28,31",16,2:1:3,2:3:1,3:1:2,2:3:1,2:4:0,3:3,3:3,2:4
03056,"08,17,21,26,28,29",07,2:0:4,1:4:1,2:2:2,3:2:1,1:1:4,5:1,3:3,2:4
03057,"18,19,24,25,30,31",16,0:1:5,3:2:1,3:3:0,4:2:0,3:3:0,6:0,3:3,2:4
03058,"09,11,16,28,32,33",02,0:1:5,5:1:0,5:1:0,3:1:2,2:2:2,3:3,3:3,1:5
03059,"02,03,05,06,18,30",04,0:2:4,3:0:3,6:0:0,1:1:4,4:0:2,2:4,2:4,3:3
03060,"02,04,06,17,21,28",11,2:1:3,1:4:1,2:2:2,1:2:3,2:2:2,3:3,2:4,2:4
03061,"03,05,20,21,28,32",02,2:2:2,3:2:1,1:3:2,2:2:2,2:1:3,4:2,3:3,2:4
03062,"01,06,12,19,20,32",14,2:1:3,2:1:3,2:2:2,1:3:2,2:2:2,3:3,2:4,2:4
03063,"05,08,09,14,21,33",11,0:2:4,2:2:2,3:3:0,1:2:3,3:0:3,2:4,4:2,1:5
03064,"04,06,08,12,15,30",01,1:2:3,3:1:2,2:3:1,1:2:3,4:1:1,1:5,1:5,0:6
03065,"06,15,16,17,30,33",11,3:1:2,1:2:3,2:1:3,2:3:1,4:1:1,3:3,3:3,1:5
